time,load actual
2015-09-24,673047.00
2015-09-25,670937.00
2015-09-26,603084.00
2015-09-27,554730.00
2015-09-28,661427.00
2015-09-29,673984.00
2015-09-30,671739.00
2015-10-01,689708.00
2015-10-02,742590.00
2015-10-03,706321.00
2015-10-04,677503.00
2015-10-05,558941.00
2015-10-06,716305.00
2015-10-07,782420.00
2015-10-08,692157.00
2015-10-09,684580.00
2015-10-10,587995.00
2015-10-11,672770.00
2015-10-12,734810.00
2015-10-13,653543.00
2015-10-14,662712.00
2015-10-15,663008.00
2015-10-16,665682.00
2015-10-17,602588.00
2015-10-18,552875.00
2015-10-19,664238.00
2015-10-20,675067.00
2015-10-21,670265.00
2015-10-22,667862.00
2015-10-23,668601.00
2015-10-24,597050.00
2015-10-25,571168.00
2015-10-26,661953.00
2015-10-27,677035.00
2015-10-28,676658.00
2015-10-29,676251.00
2015-10-30,670309.00
2015-10-31,597565.00
2015-11-01,639058.00
2015-11-02,808320.00
2015-11-03,701756.00
2015-11-04,612939.00
2015-11-05,668923.00
2015-11-06,701517.00
2015-11-07,694939.00
2015-11-08,710646.00
2015-11-09,657676.00
2015-11-10,545454.00
2015-11-11,677749.00
2015-11-12,733082.00
2015-11-13,678097.00
2015-11-14,602135.00
2015-11-15,558267.00
2015-11-16,674414.00
2015-11-17,696400.00
2015-11-18,697087.00
2015-11-19,693672.00
2015-11-20,692926.00
2015-11-21,627648.00
2015-11-22,588691.00
2015-11-23,723118.00
2015-11-24,755621.00
2015-11-25,748481.00
2015-11-26,740829.00
2015-11-27,728058.00
2015-11-28,653868.00
2015-11-29,607926.00
2015-11-30,734849.00
2015-12-01,760214.00
2015-12-02,762505.00
2015-12-03,698044.00
2015-12-04,563041.00
2015-12-05,690610.00
2015-12-06,681980.00
2015-12-07,637505.00
2015-12-08,716049.00
2015-12-09,609210.00
2015-12-10,556622.00
2015-12-11,681089.00
2015-12-12,665852.00
2015-12-13,622191.00
2015-12-14,741076.00
2015-12-15,745014.00
2015-12-16,736211.00
2015-12-17,733613.00
2015-12-18,717723.00
2015-12-19,656111.00
2015-12-20,607501.00
2015-12-21,706182.00
2015-12-22,714470.00
2015-12-23,700155.00
2015-12-24,614411.00
2015-12-25,523014.00
2015-12-26,578302.00
2015-12-27,573243.00
2015-12-28,657641.00
2015-12-29,653713.00
2015-12-30,648988.00
2015-12-31,600159.00
2016-01-01,522125.00
2016-01-02,719136.00
2016-01-03,748524.00
2016-01-04,700822.00
2016-01-05,530521.00
2016-01-06,668680.00
2016-01-07,736820.00
2016-01-08,730635.00
2016-01-09,757463.00
2016-01-10,611903.00
2016-01-11,558169.00
2016-01-12,750427.00
2016-01-13,760134.00
2016-01-14,765948.00
2016-01-15,760379.00
2016-01-16,693004.00
2016-01-17,658045.00
2016-01-18,774212.00
2016-01-19,780217.00
2016-01-20,776932.00
2016-01-21,773169.00
2016-01-22,758816.00
2016-01-23,666858.00
2016-01-24,615513.00
2016-01-25,726984.00
2016-01-26,745370.00
2016-01-27,746347.00
2016-01-28,745559.00
2016-01-29,739056.00
2016-01-30,665663.00
2016-01-31,618882.00
2016-02-01,584488.00
2016-02-02,733911.00
2016-02-03,747117.00
2016-02-04,632991.00
2016-02-05,606690.00
2016-02-06,674648.00
2016-02-07,661708.00
2016-02-08,746160.00
2016-02-09,763974.00
2016-02-10,563870.00
2016-02-11,664484.00
2016-02-12,742395.00
2016-02-13,665733.00
2016-02-14,626006.00
2016-02-15,754983.00
2016-02-16,770976.00
2016-02-17,781561.00
2016-02-18,785711.00
2016-02-19,771322.00
2016-02-20,683581.00
2016-02-21,633492.00
2016-02-22,733866.00
2016-02-23,737910.00
2016-02-24,745720.00
2016-02-25,739335.00
2016-02-26,752744.00
2016-02-27,696083.00
2016-02-28,638711.00
2016-02-29,732856.00
2016-03-01,587997.00
2016-03-02,737454.00
2016-03-03,738586.00
2016-03-04,594549.00
2016-03-05,662261.00
2016-03-06,677965.00
2016-03-07,613738.00
2016-03-08,754402.00
2016-03-09,693518.00
2016-03-10,673302.00
2016-03-11,678102.00
2016-03-12,673725.00
2016-03-13,616933.00
2016-03-14,743239.00
2016-03-15,756130.00
2016-03-16,745479.00
2016-03-17,747483.00
2016-03-18,738893.00
2016-03-19,655835.00
2016-03-20,607825.00
2016-03-21,715450.00
2016-03-22,716587.00
2016-03-23,701321.00
2016-03-24,611190.00
2016-03-25,567089.00
2016-03-26,587248.00
2016-03-27,536297.00
2016-03-28,619931.00
2016-03-29,683086.00
2016-03-30,686008.00
2016-03-31,699132.00
2016-04-01,670464.00
2016-04-02,739586.00
2016-04-03,742533.00
2016-04-04,710509.00
2016-04-05,669237.00
2016-04-06,607156.00
2016-04-07,727620.00
2016-04-08,752617.00
2016-04-09,654201.00
2016-04-10,695662.00
2016-04-11,690699.00
2016-04-12,625700.00
2016-04-13,703248.00
2016-04-14,700049.00
2016-04-15,691552.00
2016-04-16,622326.00
2016-04-17,574005.00
2016-04-18,677543.00
2016-04-19,699990.00
2016-04-20,703121.00
2016-04-21,692224.00
2016-04-22,682859.00
2016-04-23,602034.00
2016-04-24,554875.00
2016-04-25,615015.00
2016-04-26,672443.00
2016-04-27,679259.00
2016-04-28,678398.00
2016-04-29,673404.00
2016-04-30,600756.00
2016-05-01,666426.00
2016-05-02,739825.00
2016-05-03,666677.00
2016-05-04,722870.00
2016-05-05,670613.00
2016-05-06,560544.00
2016-05-07,753177.00
2016-05-08,732533.00
2016-05-09,796663.00
2016-05-10,665688.00
2016-05-11,618370.00
2016-05-12,699274.00
2016-05-13,670488.00
2016-05-14,596638.00
2016-05-15,539761.00
2016-05-16,610763.00
2016-05-17,650475.00
2016-05-18,668484.00
2016-05-19,666121.00
2016-05-20,667188.00
2016-05-21,601708.00
2016-05-22,553922.00
2016-05-23,650201.00
2016-05-24,664899.00
2016-05-25,674869.00
2016-05-26,672427.00
2016-05-27,671715.00
2016-05-28,603143.00
2016-05-29,547137.00
2016-05-30,649718.00
2016-05-31,662482.00
2016-06-01,590833.00
2016-06-02,671802.00
2016-06-03,622256.00
2016-06-04,707260.00
2016-06-05,670884.00
2016-06-06,670655.00
2016-06-07,759341.00
2016-06-08,650218.00
2016-06-09,817842.00
2016-06-10,693927.00
2016-06-11,565826.00
2016-06-12,644897.00
2016-06-13,712889.00
2016-06-14,724579.00
2016-06-15,710461.00
2016-06-16,675552.00
2016-06-17,670399.00
2016-06-18,608608.00
2016-06-19,561789.00
2016-06-20,673687.00
2016-06-21,703887.00
2016-06-22,713985.00
2016-06-23,709151.00
2016-06-24,675239.00
2016-06-25,643051.00
2016-06-26,584745.00
2016-06-27,705022.00
2016-06-28,738333.00
2016-06-29,738371.00
2016-06-30,742863.00
2016-07-01,717796.00
2016-07-02,619931.00
2016-07-03,760509.00
2016-07-04,700286.00
2016-07-05,600837.00
2016-07-06,699950.00
2016-07-07,748282.00
2016-07-08,598858.00
2016-07-09,776481.00
2016-07-10,677009.00
2016-07-11,684282.00
2016-07-12,702620.00
2016-07-13,744206.00
2016-07-14,729571.00
2016-07-15,719736.00
2016-07-16,650659.00
2016-07-17,602145.00
2016-07-18,736178.00
2016-07-19,763062.00
2016-07-20,777489.00
2016-07-21,775559.00
2016-07-22,754557.00
2016-07-23,661762.00
2016-07-24,607176.00
2016-07-25,707788.00
2016-07-26,772493.00
2016-07-27,775049.00
2016-07-28,773763.00
2016-07-29,768918.00
2016-07-30,688682.00
2016-07-31,627251.00
2016-08-01,721012.00
2016-08-02,728381.00
2016-08-03,764321.00
2016-08-04,704654.00
2016-08-05,556905.00
2016-08-06,717434.00
2016-08-07,754167.00
2016-08-08,704759.00
2016-08-09,764167.00
2016-08-10,606831.00
2016-08-11,716075.00
2016-08-12,629159.00
2016-08-13,627513.00
2016-08-14,578855.00
2016-08-15,594375.00
2016-08-16,683072.00
2016-08-17,696559.00
2016-08-18,708534.00
2016-08-19,713227.00
2016-08-20,658657.00
2016-08-21,598813.00
2016-08-22,718511.00
2016-08-23,737048.00
2016-08-24,735415.00
2016-08-25,729491.00
2016-08-26,728990.00
2016-08-27,662635.00
2016-08-28,625177.00
2016-08-29,746102.00
2016-08-30,752291.00
2016-08-31,754170.00
2016-09-01,653089.00
2016-09-02,743307.00
2016-09-03,775747.00
2016-09-04,627123.00
2016-09-05,666558.00
2016-09-06,725901.00
2016-09-07,689450.00
2016-09-08,712047.00
2016-09-09,753332.00
2016-09-10,559760.00
2016-09-11,718959.00
2016-09-12,676969.00
2016-09-13,736619.00
2016-09-14,693252.00
2016-09-15,680053.00
2016-09-16,678416.00
2016-09-17,611106.00
2016-09-18,563667.00
2016-09-19,667798.00
2016-09-20,691157.00
2016-09-21,690178.00
2016-09-22,696395.00
2016-09-23,690603.00
2016-09-24,610437.00
2016-09-25,562841.00
2016-09-26,676293.00
2016-09-27,696652.00
2016-09-28,669715.00
2016-09-29,688627.00
2016-09-30,685504.00
2016-10-01,621950.00
2016-10-02,742064.00
2016-10-03,767892.00
2016-10-04,583974.00
2016-10-05,681063.00
2016-10-06,713267.00
2016-10-07,641234.00
2016-10-08,683399.00
2016-10-09,671186.00
2016-10-10,662487.00
2016-10-11,719998.00
2016-10-12,641873.00
2016-10-13,661200.00
2016-10-14,656166.00
2016-10-15,590837.00
2016-10-16,550852.00
2016-10-17,671183.00
2016-10-18,685659.00
2016-10-19,682395.00
2016-10-20,679653.00
2016-10-21,675533.00
2016-10-22,612380.00
2016-10-23,568465.00
2016-10-24,675295.00
2016-10-25,688494.00
2016-10-26,685232.00
2016-10-27,683358.00
2016-10-28,677965.00
2016-10-29,599154.00
2016-10-30,566607.00
2016-10-31,602558.00
2016-11-01,724376.00
2016-11-02,742235.00
2016-11-03,751590.00
2016-11-04,698277.00
2016-11-05,678839.00
2016-11-06,629008.00
2016-11-07,773978.00
2016-11-08,680219.00
2016-11-09,619740.00
2016-11-10,668920.00
2016-11-11,716565.00
2016-11-12,614894.00
2016-11-13,588993.00
2016-11-14,703744.00
2016-11-15,728617.00
2016-11-16,725476.00
2016-11-17,727133.00
2016-11-18,722367.00
2016-11-19,643934.00
2016-11-20,607981.00
2016-11-21,720916.00
2016-11-22,738515.00
2016-11-23,740976.00
2016-11-24,744547.00
2016-11-25,750640.00
2016-11-26,678171.00
2016-11-27,626330.00
2016-11-28,731645.00
2016-11-29,752680.00
2016-11-30,748733.00
2016-12-01,745934.00
2016-12-02,740071.00
2016-12-03,668298.00
2016-12-04,714548.00
2016-12-05,677502.00
2016-12-06,577164.00
2016-12-07,774316.00
2016-12-08,686174.00
2016-12-09,742479.00
2016-12-10,581821.00
2016-12-11,637890.00
2016-12-12,733127.00
2016-12-13,759878.00
2016-12-14,766908.00
2016-12-15,769368.00
2016-12-16,764105.00
2016-12-17,680353.00
2016-12-18,645178.00
2016-12-19,770906.00
2016-12-20,772783.00
2016-12-21,763804.00
2016-12-22,748839.00
2016-12-23,710885.00
2016-12-24,610378.00
2016-12-25,535713.00
2016-12-26,586992.00
2016-12-27,678824.00
2016-12-28,685103.00
2016-12-29,687599.00
2016-12-30,685187.00
2016-12-31,628723.00
2017-01-01,563599.00
2017-01-02,755665.00
2017-01-03,725569.00
2017-01-04,614479.00
2017-01-05,540855.00
2017-01-06,703698.00
2017-01-07,620843.00
2017-01-08,760023.00
2017-01-09,700448.00
2017-01-10,572194.00
2017-01-11,582334.00
2017-01-12,791836.00
2017-01-13,766362.00
2017-01-14,707208.00
2017-01-15,666078.00
2017-01-16,782761.00
2017-01-17,805678.00
2017-01-18,841133.00
2017-01-19,847564.00
2017-01-20,834406.00
2017-01-21,733290.00
2017-01-22,675589.00
2017-01-23,796442.00
2017-01-24,802256.00
2017-01-25,809421.00
2017-01-26,817315.00
2017-01-27,800355.00
2017-01-28,704311.00
2017-01-29,654421.00
2017-01-30,760045.00
2017-01-31,761603.00
2017-02-01,695918.00
2017-02-02,757995.00
2017-02-03,723703.00
2017-02-04,573924.00
2017-02-05,644825.00
2017-02-06,709016.00
2017-02-07,578838.00
2017-02-08,765419.00
2017-02-09,629493.00
2017-02-10,690296.00
2017-02-11,672931.00
2017-02-12,728666.00
2017-02-13,742761.00
2017-02-14,748712.00
2017-02-15,734388.00
2017-02-16,737665.00
2017-02-17,731761.00
2017-02-18,663804.00
2017-02-19,612507.00
2017-02-20,719701.00
2017-02-21,730668.00
2017-02-22,731587.00
2017-02-23,735684.00
2017-02-24,725498.00
2017-02-25,650953.00
2017-02-26,604454.00
2017-02-27,702022.00
2017-02-28,709307.00
2017-03-01,750735.00
2017-03-02,746946.00
2017-03-03,733127.00
2017-03-04,674605.00
2017-03-05,675822.00
2017-03-06,634399.00
2017-03-07,699927.00
2017-03-08,780948.00
2017-03-09,587187.00
2017-03-10,693724.00
2017-03-11,685167.00
2017-03-12,681774.00
2017-03-13,699079.00
2017-03-14,713397.00
2017-03-15,696339.00
2017-03-16,695094.00
2017-03-17,685786.00
2017-03-18,606381.00
2017-03-19,558729.00
2017-03-20,655778.00
2017-03-21,694498.00
2017-03-22,712277.00
2017-03-23,727523.00
2017-03-24,735202.00
2017-03-25,665811.00
2017-03-26,577743.00
2017-03-27,713030.00
2017-03-28,708065.00
2017-03-29,699149.00
2017-03-30,687531.00
2017-03-31,684542.00
2017-04-01,746239.00
2017-04-02,666035.00
2017-04-03,666297.00
2017-04-04,687872.00
2017-04-05,679330.00
2017-04-06,566634.00
2017-04-07,738651.00
2017-04-08,794049.00
2017-04-09,708504.00
2017-04-10,710942.00
2017-04-11,611392.00
2017-04-12,802021.00
2017-04-13,565801.00
2017-04-14,520351.00
2017-04-15,544912.00
